QUEST_20150317_000001	Please select the user requiring a quest update.	퀘스트 수정이 필요한 유저를 선택해주세요.				GM
QUEST_20150317_000853	{memo X}We tried our best to impede them until your arrival. {nl}But as you can see, we've reached our limit.	계시자님을 기다리는 동안 어떻게든 그들을 방해해왔습니다만.{nl}보시다시피 이런 몸인지라 한계에 다다른 상황입니다. 				
QUEST_20150317_000854	Chapel Table	성당 책상				
QUEST_20150317_000855	{memo X}…Only after three years since Ruklys learned from my teachings…	...루크리스가 대성당에서 나의 가르침을 받은지 3년이라는 시간이 흘러서야...				성당 책상
QUEST_20150317_000856	…two years after the war, my first disciple ended up dead…	 ...내전이 발발한지 2년만에 나의 첫번째 제자 루클리스는 사망하고 만...				성당 책상
QUEST_20150317_000857	…a year after Lydia Schaffen left the Cathedral…	 ...리디아 샤펜이 대성당을 떠난진 1년이 지나...				성당 책상
QUEST_20150317_000858	…One of the three disciples, Agailla Flurry…	...3명의 제자 중 아가일라 플러리는...				성당 책상
QUEST_20150317_000859	It has been an old tradition of this town to make pots with wishes inside and offer it to the Goddess. {nl}Wouldn't this disaster end when the Goddess returns?	예로부터 이 도시에선 여신께 올리는 소원을 담아 도자기를 빚어왔지.{nl}실종된 여신들께서 돌아오신다면 이 재난도 끝나지 않을까..				도자기 빚는 노인
QUEST_20150317_000860	The writing on the platform was something like… {nl}Remember the holy numbers with your eyes. {nl}The light of the candle shall chase away the dark…{nl}	단상에 쓰여진 글귀는 아마 이런 내용이었지요.{nl}두 눈으로 성스러운 숫자를 기억하라.{nl}촛불의 빛은 사악한 어둠을 쫓을지니.. {nl}				주교 아우렐리우스의 영혼
QUEST_20150317_000861	Remember the number written on the candle holder. {nl}And light that many candles to solve it.	촛대에 쓰여진 숫자를 기억해 두세요.{nl}그리고 그 숫자만큼 초에 불을 밝히시면 해결될 듯 합니다.				주교 아우렐리우스의 영혼
QUEST_20150317_000862	The relics have fallen into the demon hands because of my weakness. {nl}But they shouldn't have reached Naktis yet.	제 힘이 부족하여 구원의 성유물은 이미 마족들의 손에 넘어갔습니다만.{nl}아직 나크티스에게 전달되지 못했을 것입니다.{nl}				주교 아우렐리우스의 영혼
QUEST_20150317_000863	{memo X}The other relics and keys are also in danger, so you better move quickly.	다른 성유물과 열쇠들도 안전을 장담할 수 없으니 빨리 움직이시는게 좋겠습니다.				
QUEST_20150317_000864	Writings on the Altar	제단에 새겨진 글귀				
QUEST_20150317_000865	Everlasting Goddess. {nl}May we praise your infinite mercy.	영원한 여신이시여.{nl}당신의 무한한 자비를 끝없이 찬양할 수 있기를.				제단에 새겨진 글귀
QUEST_20150317_000866	Life withers and the soul has nowhere to go. {nl}Only the Goddess can save us.	생명은 시들고 영혼은 갈 곳이 없다.{nl}오직 여신께서만 구원해 주실 수 있다.				제단에 새겨진 글귀
QUEST_20150317_000867	{memo X}I have sent the bishop there.	주교님을 모셔드렸습니다.				
QUEST_20150317_000868	{memo X}Monsters! Run!	몬스터들입니다. 도망치십시오.				
QUEST_20150317_000869	Maven's Device	메이번의 장치				
QUEST_20150317_000870	Maven's Device that the bishop talked about. {nl}There is a small keyhole.	주교가 말한 메이번의 장치.{nl}작은 열쇠구멍이 보인다.				메이번의 장치
QUEST_20150317_000871	Blue Pondel	푸른 폰델				
QUEST_20150317_000872	What is it?	뭐 때문에 그래?				푸른 폰델
QUEST_20150317_000873	You're not kidding, are you?	거짓말 하는거 아냐?				푸른 폰델
QUEST_20150317_000874	Black Pond	검은 폰드				
QUEST_20150317_000875	What's up? {nl}You suspect something?	왜 그래?{nl}너 수상한대?				검은 폰드
QUEST_20150317_000876	Can I trust you?	네 말 믿어도 돼?				검은 폰드
QUEST_20150317_000877	Naktis	나크티스				
QUEST_20150317_000878	{memo X}I won't hand over the revelation to petty humans!	인간 따위에게 계시를 넘길 순 없다!				
QUEST_20150317_000879	{memo X}Cathedral Revelation	대성당 계시				
QUEST_20150317_000880	{memo X}Interpretation of the Revelation	계시 해석 내용.				
QUEST_20150317_000881	$A thousand years ago, before your generation… {nl}This is the story of the time before I left the revelation with Great King Zachariel.	당신의 시대에서 천 년 전.{nl}제가 이 계시를 자카리엘에게 맡기기 전의 이야기입니다.{nl}				자카리엘 왕릉의 계시
QUEST_20150317_000882	$This land was full of chaos when the Great King Zachariel tried to raise a new kingdom. {nl}Only one place seemed filled with life, and Zachariel wanted that place.	자카리엘이 새 왕국을 세우려 했을 때, 이 땅은 혼돈뿐이였습니다.{nl}단 한 곳만이 생명력으로 가득했기에 자카리엘은 그 땅을 원했습니다.{nl}				자카리엘 왕릉의 계시
QUEST_20150317_000883	$But the future I saw in that land had only death and regret. {nl}Thus, I left a prophecy that moved the capital elsewhere when the kingdom reached a thousand years of age.	하지만 그 곳에서 제가 본 미래는 많은 한탄과 죽음이였지요.{nl}때문에 건국 천년제를 맞이하면, 반드시 수도를 이전하라는 예언을 남겼습니다.{nl}				자카리엘 왕릉의 계시
QUEST_20150317_000884	$It is now up to humans to fulfill that prophecy. {nl}The end lies beyond the fog.	그러나 예언을 이행하는 것은 결국 인간의 몫. {nl}어떠한 결말을 가져올지는 안개속에 가려져 있습니다.{nl}				자카리엘 왕릉의 계시
QUEST_20150317_000885	$I plan to leave the end of this story in the next revelation. {nl}Find my revelation in the Mage Tower.	다음 계시에서 그 결말의 끝을 남기려 합니다.{nl}마법사의 탑에서 저의 계시를 찾아 주세요.				자카리엘 왕릉의 계시
QUEST_20150317_000886	Laima	라이마				
QUEST_20150317_000887	There are still more keys left to find. {nl}It would be a relief if they are secretly guarded by Maven's plan.	찾아야 할 열쇠가 아직 많이 남아 있습니다.{nl}메이번님께서 고안하신 비밀에 온전히 지켜지고 있기만 해도 다행이겠지요.{nl}{nl}				주교 아우렐리우스의 영혼
QUEST_20150317_000888	{memo X}What once housed the Goddesses is now filled with demons. {nl}Maven, the first bishop, would be very sad about this.	여신을 모시던 곳이 이젠 마족들로 넘처나다니 대성당 초대 주교인 메이번님이 슬퍼하실 겁니다.				
QUEST_20150317_000889	Insert relics that match each hall. {nl}Then you will be able to get the first key of Maven.	소회당의 제단에 각각 맞는 성유물을 끼워넣으세요. {nl}메이번님의 첫 번째 열쇠를 얻을 수 있을 겁니다.				주교 아우렐리우스의 영혼
QUEST_20150317_000890	First, prepare. {nl}The Wood Goblins will be attacking soon.	일단 준비하시오. 우드고블린이 공격해올 거요.				지휘관 오루크
QUEST_20150317_000891	{memo X}The Cathedral used to be where we worshipped the Goddess. {nl}Now it's turned to a nest of demons…	여신을 모시는 대성당이 이젠 마족의 소굴로 변해버렸다니...				
QUEST_20150317_000892	{memo X}It's the key. Go to the Veiniky Altar. {nl}Maven's device can be found there.	열쇠군요. 베이니키 제단으로 이동하십시오. 베이니키 제단에 메이번님의 장치가 있습니다.				
QUEST_20150317_000893	{memo X}Naktis' subordinates have become disoriented.	나크티스의 부하들이 움직임이 분주해졌습니다. 				
QUEST_20150317_000894	{memo X}I presume this is the key that releases the device at the Veiniky Altar.	베이니카 제단에 있는 장치를 푸는 열쇠가 아닐까 싶습니다.				
QUEST_20150317_000895	{memo X}The next device is at the Veiniky Altar.	다음 장치는 베이니카 제단에 있습니다.				
QUEST_20150317_000896	{memo X}This drug really better work…	약이 제발 효과가 있어야 하는데..				
QUEST_20150317_000897	{memo X}This drug better work…	게발 약효가 있어야 할텐데				
QUEST_20150317_000898	{memo X}Food… Did you bring food?	음식.. 음식을 가지고 오셨나요?				
QUEST_20150317_000899	{memo X}Did you see the pilgrim with never-ending hunger? {nl}He's also under Naktis' curse. {nl}That's why his hunger can't be filled, no matter how much he eats.	음식을 먹어도 먹어도 배고픈 순례자를 보셨다고요?{nl}그 순례자도 나크티스의 저주 때문에 먹어도 먹어도 허기를 채워지지 못하는 겁니다.				
QUEST_20150317_000900	{memo X}Ugghh… What did I eat? {nl}I feel sick.	으으.. 제가 뭘 먹은거죠?{nl}속이 울렁거립니다.				
QUEST_20150317_000901	{memo X}The drug better work…	약효가 있어야 할텐데..				
QUEST_20150317_000902	{memo X}They're feeling nauseous? {nl}I can't tell if the drug is working just by looking at their reactions.	속이 울렁거린다고요?{nl}순례자들의 반응을 보면 정말 약효가 있는지 없는지 모르겠군요.				
QUEST_20150317_000903	{memo X}I'll give you the drug. {nl}Give it to the pilgrims.	약을 드리겠습니다.{nl}이 약을 순례자에게 사용하십시오.				
QUEST_20150317_000904	{memo X}Now I better go and bury the bishop.	이제 주교님의 시신을 묻으러 가야겠습니다.				
QUEST_20150317_000905	{memo X}Thank you for helping me bury the bishop.	당신덕분에 주교님을 묻어드릴수 있었습니다. 감사합니다.				
QUEST_20150317_000906	Red Marble	빨간색 구슬				
QUEST_20150317_000907	It's gushing red light.	빨간 빛을 내뿜고 있다.				빨간색 구슬
QUEST_20150317_000908	Blue Marble	파란색 구슬				
QUEST_20150317_000909	It is gushing blue light.	파란 빛을 내뿜고 있다.				파란색 구슬
QUEST_20150317_000910	Yellow Marble	노란색 구슬				
QUEST_20150317_000911	It's gushing yellow light.	노란 빛을 내뿜고 있다.				노란색 구슬
QUEST_20150317_000912	Green Marble	초록색 구슬				
QUEST_20150317_000913	It's gushing green light.	초록 빛을 내뿜고 있다.				초록색 구슬
QUEST_20150317_000914	Purple Marble	보라색 구슬				
QUEST_20150317_000915	It's gushing purple light.	보라 빛을 내뿜고 있다.				보라색 구슬
QUEST_20150317_000916	{memo X}It's time to let Naktis' subordinates know about the location of Maven's device.	나크티스의 부하에게 메이번님의 장치 위치를 알려줄 때 입니다.				
QUEST_20150317_000917	{memo X}Maven's device will not be destroyed easily but that doesn't mean it's indestructible.	메이번님의 장치는 쉽게 파괴되지 않을 겁니다. 그렇다고 영원히 파괴되지 않다고 말 할수 있는 상황이 아닙니다.				
QUEST_20150317_000918	{memo X}Naktis' subordinates are showing strong obsession {nl}over their own things inside Maven's device.	나크티스의 부하들은 자신의 메이번님의 장치 안에 있는 물건에 엄청난 집착을 보이고 있으니깐요..				
QUEST_20150317_000919	{memo X}Naktis' subordinates are showing strong obsession {nl}over the things inside Maven's device.	나크티스의 부하들은 메이번님의 장치 안에 있는 물건에 엄청난 집착을 보이고 있습니다.				
QUEST_20150317_000920	{memo X}Have you found the last key?	마지막 열쇠를 찾으셨습니까?				
QUEST_20150317_000921	{memo X}If Naktis' subordinates took it, then the last key must be in the hands of Naktis.	나크티스의 부하들이 가지고 갔다면 마지막 열쇠는 나크티스의 손에 있을 겁니다.				
QUEST_20150317_000922	{memo X}Naktis' subordinates have reported to Naktis that we have the key.	우리가 열쇠를 가지고 있다는 걸 나크티스의 부하들이 나크티스에게 보고를 했습니다. 				
QUEST_20150317_000923	{memo X}The shining keys and marbles…	빛을 내는 구슬과 열쇠들..				
QUEST_20150317_000924	{memo X}The color of the shining keys and marbles… {nl}they seem to match each other and are related.	빛을 내는 구슬과 열쇠들의 색.. 서로 연관관계가 있어 보입니다.				
QUEST_20150317_000925	It seems something reacted.	뭔가 반응이 있는 것 같다.				None
QUEST_20150317_000926	{memo X}We are the priests sent to undo Naktis' curse at Pilgrim Path. {nl}We are looking for the many documents about the demons and their curse in the Cathedral.	저흰 순례자의 길에 퍼진 나크티스의 저주를 풀기 위해서 파견된 사제들입니다.{nl}대성당엔 마족과 마족들의 저주에 대한 문서가 많습니다. 현재 저흰 대성당에서 문서를 찾고 있었습니다.				
QUEST_20150317_000927	{memo X}The device will be released when all the floor plates are pressed down.	발판 모두를 눌러놓고 있어야 장치가 해제됩니다.				
QUEST_20150317_000928	Take the bombs in the box. You must destroy the Mausoleum entrance.	상자에 담겨있는 폭탄을 가져가십시오. 왕릉 입구를 꼭 파괴해야합니다.				폭파병 루이나
QUEST_20150317_000929	Help!	사람 살려!				폭파병 루이나
QUEST_20150317_000930	Warning	경고				
QUEST_20150317_000931	{memo X}Stop! You cannot go beyond this point without permission!	멈춰! 허가 없이는 이 앞을 지날 수 없다! 				
QUEST_20150317_000932	{memo X}What? You seem a bit inexperienced but still may be of help to us. {nl}You'll be able to meet the officer when you follow this road.	뭐? 아직 미숙해 보이지만 우리에겐 큰 도움이 될 것 같이 보이는데? {nl}이 길 뒤로 쭉 가다보면 장교님을 뵐 수 있을 거야.				
QUEST_20150317_000933	{memo X}What the…! Losing the revelation right in front of…! {nl}This isn't the end! Remember that!	이럴.. 수가..! 눈앞에서 계시를 놓치다니..!!{nl}이건 결코 끝이 아니다! 기억해라!				
QUEST_20150317_000934	Okay then, let's start the experiment.	그럼 시험을 시작하겠습니다.				경계병
QUEST_20150317_000935	Spoiled Food	썩은 음식				
QUEST_20150317_000936	Potato dumplings that feels like it shouldn't be eaten. {nl}Shall we eat it?	왠지 먹으면 안 될 것 같은 느낌의 감자 만두. 먹어볼까?				썩은 음식
QUEST_20150317_000937	It's spoiled.	썩었다.				썩은 음식
QUEST_20150317_000938	Preserved food	보존식				
QUEST_20150317_000939	It's preserved food that is dried or salted. {nl}Doesn't seem edible by itself.	말리거나 소금에 절인 보존식이다. 그냥 먹을 수 없을 것 같다.				보존식
QUEST_20150317_000940	Liquor	술				
QUEST_20150317_000941	Just smells like liquor.	술 냄새만 잔뜩 난다.				술
QUEST_20150317_000942	Explore	탐색				
QUEST_20150317_000943	Seems like it can be used only in the Crystal Mine, 3rd Gallery…	수정광산 3층에서만 사용될 것 같다..				탐색
QUEST_20150317_000944	Found a piece of paper underneath the soil.	흙 밑에서 종이 한 장을 발견했다.				탐색
QUEST_20150317_000945	Eating more would be rather risky.	더 먹으면 왠지 위험할 것 같다.				썩은 음식
QUEST_20150317_000946	Something feels horrible inside…	왠지 배 속이 위험하다.				썩은 음식
QUEST_20150317_000947	Ooopp…	우욱..				썩은 음식
QUEST_20150317_000948	I don't want to eat that ever again.	다신 절대로 먹고 싶지 않다.				썩은 음식
QUEST_20150317_000949	This is dangerous. I want to throw up!	이건 절대 위험하다. 올라올 것 같다!!				썩은 음식
QUEST_20150317_000950	There seem to a lot of interesting books. {nl}Which one shall we read?	볼만한 책이 많아 보인다. 어떤 책을 읽어 볼까?				책장
QUEST_20150317_000951	Wonders of the Deep Forest	깊은 숲의 경이				
QUEST_20150317_000952	Many wooden owl statues of unknown purpose are found in the deep forests.	숲의 가장 깊은 곳에는 목적 불명의 목조 부엉이 조각상이 굉장히 많이 세워져 있다.{nl}				깊은 숲의 경이
QUEST_20150317_000953	Legend says that a sculptor made the statues to help guide dead souls.	숲의 주민들 사이에선 어떤 조각가가 죽은 이의 영혼을 인도하기 위해 조각상을 만들었다는 전설이 전해지고 있다.{nl}				깊은 숲의 경이
QUEST_20150317_000954	It is said he has hidden for centuries and is sculpting statues even now.	무려 수백 년을 은둔하면서 지금도 계속해서 만들어지고 있다고.				깊은 숲의 경이
QUEST_20150317_000955	Fallen City of the Kingdom	왕국의 폐도				
QUEST_20150317_000956	The Millenary was held for the thousand year anniversary of the Kingdom.	왕국 건국 천 년을 맞아 천년제가 개최되었다. {nl}				왕국의 폐도
QUEST_20150317_000957	A hundred years after that, the Divine Tree rose up at the center of the capital, {nl}and disaster struck. The world was ravaged by plants.	그로부터 약 100년 뒤, 수도의 중앙에 있던 신수가 솟아올랐고, 세상이 식물에 침탈되는 대재앙이 발생하였다.{nl}				왕국의 폐도
QUEST_20150317_000958	The capital was filled with the anguished cries of people, {nl}and soon turned into a fallen city.	수도에 살던 사람들의 비탄에 가득 찬 울부짖음과 비명이 더는 수도가 아닌 폐도의 밤을 울렸다.				왕국의 폐도
QUEST_20150317_000959	Monsters	괴물지				
QUEST_20150317_000960	Before Medis Diena, there were only Vubbes.	신수의 날 이전의 세계는 부베 따위가 전부였다.{nl}				괴물지
QUEST_20150317_000961	But after, monsters with distinct and ferocious characteristics showed up in packs.	하지만 신수의 날 이후, 식물의 특징이 뚜렷하며 성질이 매우 흉폭한 몬스터가 대량으로 발생하였다.				괴물지
QUEST_20150317_000962	Siauliai Companies	샤울레이 산업사				
QUEST_20150317_000963	The main industry of Siauliai is mining, and its speciality is crystals from the Crystal Mine.	샤울레이 지역의 주요 산업은 광업으로 수정광산에서 채굴되는 수정이 특산품이다.{nl}				샤울레이 산업사
QUEST_20150317_000964	Currently, only the 1st Mine Lot is being worked on but the mines used to have two lots.	현재는 수정광산 1광구만 채굴되고 있지만 원래 수정광산은 두 개의 광산으로 운영되었다.{nl}				샤울레이 산업사
QUEST_20150317_000965	But the 2nd Mine Lot was closed by the declaration of the bishop to seal away demons. {nl}The alchemist also resides in the village for this reason.	그중 수정광산 2광구는 강력한 마족을 봉인하기 위해 클라페다 주교령으로 폐쇄되었고 이를 위해 마을에 알케미스트가 상주하고 있다.				샤울레이 산업사
QUEST_20150317_000966	Summa Theologica	신학 대전				
QUEST_20150317_000967	Everything about the Goddess Vakarine Statue is beautiful, {nl}but its most beautiful part is the fact that its special powers {nl}can be used to take you to the world of the Goddesses.	바카리네 여신상은 모든 것이 아름답지만, 여신상의 특별한 힘을 사용할 수 있다면 신들이 사는 세계로 갈 수 있다는 점이 가장 아름답다.				신학 대전
QUEST_20150317_000968	Legend of Cunningham	커닝햄의 전설				
QUEST_20150317_000969	It is a story old enough to be lost from all memory.	사람들의 기억 속에서 잊힐 정도로 아주 오래된 이야기다.{nl}				커닝햄의 전설
QUEST_20150317_000970	During his compulsory labor in the mines, Cunningham met a strange girl of around seven-years old. {nl}The girl kept speaking about a great danger, but knew little about herself.	커닝햄은 광산에서 강제 노역을 하던 중 7살 남짓의 이상한 소녀와 만났다.{nl}그 소녀는 거대한 위협에 대해 계속 말하면서도 자신에 대해선 전혀 모르는 것 같았다.{nl}				커닝햄의 전설
QUEST_20150317_000971	Cunningham took pity on the girl and cared for her. Soon they became best friends.	커닝햄은 그 소녀를 불쌍히 여겨 돌봐 주었고, 곧 둘도 없는 친구가 되었다.{nl}				커닝햄의 전설
QUEST_20150317_000972	But the happiness did not last long; soon the demons attacked the mines. {nl}With the help of the girl, Cunningham fought against the demons to repel Mirtis.	하지만 행복은 잠시 뿐, 광산으로 마족들의 공격이 시작되었다.{nl}커닝햄은 소녀의 도움을 받아 마족들을 이끌고 있는 미르티스를 막기 위해 열심히 싸웠다.{nl}				커닝햄의 전설
QUEST_20150317_000973	{memo X}However, Mirtis was too strong and Cunningham had to make a tough decision.	하지만 미르티스의 힘은 엄청났기에 커닝햄은 중요한 결단을 내릴 수 밖에 없었다.{nl}				
QUEST_20150317_000974	In the end, Cunningham destroyed the mines, sealing Mirtis and himself in it.	결국, 커닝햄은 광산을 부숴 미르티스를 간신히 봉인하였다.{nl}하지만 그 자신 또한 탈출하지 못했다.				커닝햄의 전설
QUEST_20150317_000975	Surgery Book Set	외과 전서				
QUEST_20150317_000976	People did not forgive the family for waking up the sleeping demons. {nl}People chased away the family in fear of being contaminated {nl}and the family had to roam the kingdom with the people's oppression and discrimination.	잠들어 있던 마족을 깨운 죄는 실수로라도 용서받지 못했다.{nl}사람들은 병이 옮을까봐 그 일족을 내쫓았고 그들은 박해와 차별 속에서 오래도록 왕국을 떠돌고 있다.{nl}				외과 전서
QUEST_20150317_000977	The men of that family had a weird sickness. {nl}Their skin was dry and flaking, and they kept on scratching it as if they were in pain.	그 일족의 남자는 모두 기이한 병을 앓고 있었다.{nl}그들은 각질이 심하게 일어난 살갗을 괴로운 듯 계속해서 긁고 있었다.{nl}				외과 전서
QUEST_20150317_000978	The skin cracked like the surface of dry earth, with blood and pus flowing out. {nl}They were in pain for a very long time and were unable to sleep. {nl}They were constantly in a state of nervous breakdown.	마치 과자의 표면처럼 갈라지고 터져 피와 고름이 베어나왔다.{nl}오랫 동안 고통 속에서 잠을 이루지 못해 신경쇠약에 걸려 있는 경우가 많았다.				외과 전서
QUEST_20150317_000979	Kingdom Travelogue	왕국 여행기				
QUEST_20150317_000980	{memo X}Rhombuspaving Dale is a masterpiece of the Goddess of Wonder and Nature. {nl}The lime stairs encompassing the southern land is filled with spring water and glows fantastically.	마름포석골은 여신의 위대한 작품인가. 자연의 경이인가.{nl}남쪽 대지에 펼쳐져 있는 새하얀 석회석 계단은 각각 솟아나는 샘물로 가득 차 환상적으로 빛난다.				
QUEST_20150317_000981	The color of the spring is sometimes the shade of sapphire and sometimes the shade of jade. {nl}Looking at their profound and mysterious colors makes you wonder if this is the work of the Goddess.	샘물의 빛깔은 때론 사파이어로, 때론 비취색으로 그 영롱하고 오묘한 색깔을 들여다 보고 있으면{nl}여신께서 보석을 풀어놓으신 것이 아닌가 하는 착각마저 들게 한다.				왕국 여행기
QUEST_20150317_000982	My Confession	나의 고백				
QUEST_20150317_000983	{memo X}The many deaths of demons could not fill the emptiness in my heart. {nl}Once the Goddess' great mission for me is over, I will be left with a long life full of boring moments.	가슴 속의 허무함은 얼마나 많은 마족들이 죽어야 채워질지.{nl}여신께서 주신 위대한 사명의 준비를 모두 마치고 나면 남은 건 길고 지루한 삶의 순간들일 것이다.				나의 고백
QUEST_20150317_000984	In that case, I shall try to interpret the Goddess' revelation for the rest of my remaining life. {nl}If that goes against her will, the Goddess should punish me right away.	그렇다면 남은 삶 동안 여신의 계시를 해석해 보리라.{nl}그것이 여신의 의지에 반하는 일이라면 즉각 내게 천벌이 내려질 것이다만.				나의 고백
QUEST_20150317_000985	But it will give me the chance to look back at my life. {nl}And in the long run, it could help a Revelator who shows up in the future.	작게는 나의 삶을 되돌아 볼 수 있는 계기가 될 것이며 {nl}멀리 보면 후대에 찾아올 계시의 주인에게도 도움이 되지 않을까 하는 기대를 품고 있다.				나의 고백
QUEST_20150317_000986	Reading Desk	독서대				
QUEST_20150317_000987	There are some books on the shelves below the reading desk. {nl}Which book shall we read?	몇 권의 책이 독서대 밑의 선반에 보인다. {nl}어떤 책을 읽어 볼까?				독서대
QUEST_20150317_000988	It's too old and worn to look at.	전부 삭아서 볼 수가 없다.				독서대
QUEST_20150317_000989	X month the 4th {nl} - {nl} There's been very little traffic coming to town from the capital. {nl} When one family moved in the whole village threw a welcome party. {Nl} After all, how many outsiders do we get to meet these days? {nl}	X월 4일{nl}-{nl}도시와 왕래라곤 거의 없는 우리 마을에 {nl}한 가족이 이사를 온 대서 마을에 환영 잔치가 열린다고 했다.{nl}도대체 이게 얼마만에 보는 외지인인지..{nl}				칠채곡 일기
QUEST_20150317_000990	I might not know for what reason people would come all the way out here for, {nl} after Medis Diena, it feels great to be in such a cheerful town. {Nl} I might skip work tomorrow and party along. {Nl} {nl}	어떻게 이 촌구석까지 이사를 올 생각은 했는지 모르겠지만{nl}신수의 날 이후로 퀴퀴했던 마을이 밝아지는 것 같아서 기분이 참 좋다.{nl}내일 일은 접어 두고 오늘은 나도 신나게 먹고 마셔야겠다.{nl}{nl}				칠채곡 일기
QUEST_20150317_000991	X month the 5th {nl} - {nl} I wanted to befriend my new neighbors as soon as possible so I brought some potato dumplings over. {nl}At the door, I could hear the house rattle. My neighbor then appeared, expressionless, {nl}but went back to a cheerful note when he saw the potato dumplings. {Nl}	X월 5일{nl}-{nl}이사 온 이웃과 친해져 볼까 싶어서 감자만두를 조금 쪄갔다.{nl}문을 두들기자 뭔가 안에서 우당탕탕 소리가 크게 났다.{nl}이웃집 아저씨는 별로 표정이 없어 보였지만 내가 싸온 감자 만두를 보시더니 환한 표으로 맞아 주셨다.{nl}				칠채곡 일기
QUEST_20150317_000992	He apologized for the lack of spirit before, {nl}as he and his son were putting up the wallpaper. {Nl} What a harmonious family, I wonder if I could create something like that?	아저씨께서는 이 집 아들이 도배 염료로 장난을 쳐서 정신이 없다며 미안해하셨다.{nl}나도 언젠간 저렇게 화목한 가족을 이룰 수 있겠지?				칠채곡 일기
QUEST_20150317_000993	X month the 10th {nl} - {nl} Mr. Raman, who lived at the bank of the creek opposite from us, went on leave.{nl}His wife said he was off to get firewood. {nl} Well, for a long time he went to Klaipeda. {nl}I've heard that you can find a lot of beautiful girls at Klaipeda. {Nl}	X월 10일{nl}-{nl}건너편 개울가에 살던 라만 아저씨가 며칠 째 부재중이시다.{nl}부인께서는 라만씨가 나무하러 가셨다곤 하는데..{nl}뭐, 간만에 클라페다라도 나가신 모양이겠지. {nl}클라페다에는 이쁜 아가씨들이 많다고 가끔 나에게 귀띔해 주셨거든.{nl}				칠채곡 일기
QUEST_20150317_000994	X month the 13th {nl} - {nl} Today was Goddess Origin Day, but somehow everyone in town had stomach pains, {nl}and could not celebrate. Why this happened specifically on this day I do not know. {Nl}Well, illnesses will be illnesses. After all that, we had to make potato porridge. {Nl}	X월 13일{nl}-{nl}여신께 기원을 올리는 날인데 이웃집 사람들은 또 모두 배탈이 났다며 참여하지 않았다.{nl}왜 기원을 올리는 날만 오면 아프다는건진 모르겠다만 뭐. 아프다는데 어쩔 수 없지.{nl}나중에 감자죽이라도 쑤어서 가져다 줘야겠다.{nl}				칠채곡 일기
QUEST_20150317_000995	X month the 14th {nl} - {nl} Last night I had a quarrel with my little sister. {nl}Writing down what you really think isn't that embarrassing. After what happened, {nl}I made a necklace as a present to her, and she came back to me. {nl}Well, I had to give in eventually. Even so, she disappeared off somewhere one morning. {Nl}	X월 14일{nl}-{nl}어젯밤 여동생과 크게 다퉜다.{nl}사실 여기다 쓰기에도 민망할 정도로 별 거 아닌 일이라..{nl}나중에 선물해 주려고 만든 목걸이가 있는데 여동생이 돌아오거든 그냥 줘야겠다.{nl}그런데 아침 댓바람부터 어딜 나갔길래 돌아오질 않는 걸까.{nl}				칠채곡 일기
QUEST_20150317_000996	Ah, just now my neighbor made me some delicious porridge. {Nl} In return I made them some warm soup. I can cook too, you know? {Nl}Tonight will be another feast so I'm going to make sure to eat and drink plenty.	참, 이웃집에서 저번에 쑤어준 죽이 맛있었다면서 답례로 따뜻한 수프를 가져다 주셨다.{nl}내가 한 요리 하긴 하지. 엣헴.{nl}오늘은 밤이 깊었으니 두었다 다음에 데워먹어야겠다.				칠채곡 일기
QUEST_20150317_000997	X month the 16th {nl} - {nl} I got a stomach-ache drinking soup that I didn't know already went bad. {Nl} I double-checked the smell before eating it, but there was no bad odor. {Nl}I felt horrible inside so I went to the well for water. Even with the water, I continued to feel horrible. {Nl}	X월 16일{nl}-{nl}수프가 상한 줄도 모르고 입에 넣었다가 다 게워냈다.{nl}먹기 전에 냄새라도 좀 맡아 볼껄. 하지만 쉰 냄새는 맡지 못했는데..{nl}속이 계속 좋지 않아서 우물가로 달려갔지만 {nl}된통 잘못 먹었는지 우물물도 메슥거리는 것 처럼 느껴진다.{nl}				칠채곡 일기
QUEST_20150317_000998	I've been throwing up a lot lately but it seems to be getting better now. {Nl}Tomorrow I'm going to go see Mr. Gordon to get some medicinal herbs. {Nl} My little sister still hasn't come back yet. When I go to her room, I find no clothes. Even Mr. Man is getting worried.	억지로 계속 토해냈더니 그나마 좀 괜찮아 진 것 같다.{nl}내일 일찍 고든 아저씨네 집에 약초를 좀 얻어야 겠다.{nl}여동생은 아직도 돌아오질 않았다.{nl}방에 들어 가 보니 몇몇 옷가지가 없다.{nl}라만 아저씨 일도 있고 해서 걱정이 된다.{nl}				칠채곡 일기
QUEST_20150317_000999	X month the 17th {nl} - {nl} The village was eerily quiet today. {Nl}There are no signs of the people who went earlier to get herbs from Mr. Gordon.	X월 17일{nl}-{nl}오늘따라 마을이 너무 조용하다.{nl}고든씨네 집에 약초를 얻으러 갔는데 인기척이 없어서 그냥 돌아 왔다.				칠채곡 일기
QUEST_20150317_001000	$X month the 23rd {nl} - {nl} This might be the last time I get to write in this diary. {Nl} Lyliana, you are the only family I have left in this world… {nl} Please be alive somewhere… {Nl}	X월 23일{nl}-{nl}어쩌면 이 일기가 마지막이 될 수도 아닐 수도 있을 것 같다.{nl}세상에 하나밖에 없는 나의 가족 리리아나.. {nl}너만은 제발 어딘가에서라도 살아 있어 주길.{nl}				칠채곡 일기
